Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 20:26:14] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImMyZjA1NzNiLWZmOTktNDllYy1iMzg3LTNmNDcxMWYxN2M0M1wiIn0.WHUx2HEe_Om-hLzWJ9r1XYdWOCMkvxKkGuqCLxRqWKg&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcImRiYWE3MTAwLTc1OTYtNGRlMi04YWY3LTE0YTYwMmVlZWZlYlwiIn0.zUNeQLIc2BeJ_p265SZzs2v3j0s62Ziz55Uf4CUyXwM&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:14] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImNmMTAxNDYzLTZhNzYtNGQ0OC1hMjQxLTMwMDVjMDMyZDE0YlwiIn0.VSD16RlTY2sf5xYR-l8CC_6_WhhWEMnZJW7rKA9jWPw&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcImY3YjRiMjQzLWVlYjUtNDJjNi1iNWEyLTkzNGFlOGE5MThlOVwiIn0.jA6F7J3aiTdGE6tgpr4EN69kBun9SX5_iMiqEOCvuuA&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImNmMTAxNDYzLTZhNzYtNGQ0OC1hMjQxLTMwMDVjMDMyZDE0YlwiIn0.VSD16RlTY2sf5xYR-l8CC_6_WhhWEMnZJW7rKA9jWPw&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImQ5MmI0Y2JkLTE3OTktNDUwMi05MDg3LTEzY2M3ZDdlMjUwZVwiIn0.wP7sC-sjjEcbXR8je6v4wvGoxkqh6YC2xC5tL_8CXFA&u_id=1 HTTP/1.1" 200 -
